classification_code,subtype_code,display_name,is_external,is_active
INTERNAL,ANNUAL_INTERNAL,Annual Internal Audit,0,1
EXTERNAL,DOC_INITIAL,DOC Initial Audit,1,1
EXTERNAL,DOC_INTERIM,DOC Interim Audit,1,1
EXTERNAL,DOC_ANNUAL,DOC Annual Audit,1,1
EXTERNAL,DOC_RENEWAL,DOC Renewal Audit,1,1
EXTERNAL,SMC_INITIAL,SMC Initial Audit,1,1
EXTERNAL,SMC_INTERIM,SMC Interim Audit,1,1
EXTERNAL,SMC_INTERMEDIATE,SMC Intermediate Audit,1,1
EXTERNAL,SMC_RENEWAL,SMC Renewal Audit,1,1
EXTERNAL,MLC_INITIAL,MLC Initial Audit,1,1
EXTERNAL,MLC_INTERIM,MLC Interim Audit,1,1
EXTERNAL,MLC_INTERMEDIATE,MLC Intermediate Audit,1,1
EXTERNAL,MLC_RENEWAL,MLC Renewal Audit,1,1
EXTERNAL,ISPS_INITIAL,ISPS Initial Verification,1,1
EXTERNAL,ISPS_INTERIM,ISPS Interim Audit,1,1
EXTERNAL,ISPS_INTERMEDIATE,ISPS Intermediate Audit,1,1
EXTERNAL,ISPS_RENEWAL,ISPS Renewal Audit,1,1
EXTERNAL,ADDITIONAL,Additional External Audit,1,1
