rule_no,title,code_version
Rule 1,Application,COLREG 1972 (as amended)
Rule 2,Responsibility,COLREG 1972 (as amended)
Rule 3,General definitions,COLREG 1972 (as amended)
Rule 4,Application (Steering and sailing rules),COLREG 1972 (as amended)
Rule 5,Look-out,COLREG 1972 (as amended)
Rule 6,Safe speed,COLREG 1972 (as amended)
Rule 7,Risk of collision,COLREG 1972 (as amended)
Rule 8,Action to avoid collision,COLREG 1972 (as amended)
Rule 9,Narrow channels,COLREG 1972 (as amended)
Rule 10,Traffic separation schemes,COLREG 1972 (as amended)
Rule 11,Application (Conduct of vessels in sight of one another),COLREG 1972 (as amended)
Rule 12,Sailing vessels,COLREG 1972 (as amended)
Rule 13,Overtaking,COLREG 1972 (as amended)
Rule 14,Head-on situation,COLREG 1972 (as amended)
Rule 15,Crossing situation,COLREG 1972 (as amended)
Rule 16,Action by give-way vessel,COLREG 1972 (as amended)
Rule 17,Action by stand-on vessel,COLREG 1972 (as amended)
Rule 18,Responsibilities between vessels,COLREG 1972 (as amended)
Rule 19,Conduct of vessels in restricted visibility,COLREG 1972 (as amended)
Rule 20,Application (Lights and shapes),COLREG 1972 (as amended)
Rule 21,Definitions (Lights and shapes),COLREG 1972 (as amended)
Rule 22,Visibility of lights,COLREG 1972 (as amended)
Rule 23,Power-driven vessels underway,COLREG 1972 (as amended)
Rule 24,Towing and pushing,COLREG 1972 (as amended)
Rule 25,Sailing vessels underway and vessels under oars,COLREG 1972 (as amended)
Rule 26,Fishing vessels,COLREG 1972 (as amended)
Rule 27,Vessels not under command or restricted in their ability to manoeuvre,COLREG 1972 (as amended)
Rule 28,Vessels constrained by their draught,COLREG 1972 (as amended)
Rule 29,Pilot vessels,COLREG 1972 (as amended)
Rule 30,Anchored vessels and vessels aground,COLREG 1972 (as amended)
Rule 31,Seaplanes,COLREG 1972 (as amended)
Rule 32,Definitions (Sound and light signals),COLREG 1972 (as amended)
Rule 33,Equipment for sound signals,COLREG 1972 (as amended)
Rule 34,Manoeuvring and warning signals,COLREG 1972 (as amended)
Rule 35,Sound signals in restricted visibility,COLREG 1972 (as amended)
Rule 36,Signals to attract attention,COLREG 1972 (as amended)
Rule 37,Distress signals,COLREG 1972 (as amended)
Rule 38,Exemptions,COLREG 1972 (as amended)
