clause_no,clause_text,section_no,code_version
1,General,1,ISM 2018
1.1,Definitions,1,ISM 2018
1.1.1,International Safety Management (ISM) Code means the International Management Code for the Safe Operation of Ships and for Pollution Prevention as adopted by the Assembly.,1,ISM 2018
1.1.2,"Company means the owner of the ship or any other organization or person such as the manager, or the bareboat charterer, who has assumed responsibility for operation of the ship and agreed to take over all duties and responsibilities imposed by the Code.",1,ISM 2018
1.1.3,Administration means the Government of the State whose flag the ship is entitled to fly.,1,ISM 2018
1.1.4,Safety management system means a structured and documented system enabling company personnel to implement effectively the company safety and environmental protection policy.,1,ISM 2018
1.1.5,Document of Compliance means a document issued to a company which complies with the requirements of this Code.,1,ISM 2018
1.1.6,Safety Management Certificate means a document issued to a ship which signifies that the company and its shipboard management operate in accordance with the approved safety management system.,1,ISM 2018
1.1.7,"Objective evidence means quantitative or qualitative information, records or statements of fact pertaining to safety or to the existence and implementation of an SMS element, based on observation, measurement or test and which can be verified.",1,ISM 2018
1.1.8,Observation means a statement of fact made during a safety management audit and substantiated by objective evidence.,1,ISM 2018
1.1.9,Non-conformity means an observed situation where objective evidence indicates the non-fulfilment of a specified requirement.,1,ISM 2018
1.1.10,Major non-conformity means an identifiable deviation that poses a serious threat to the safety of personnel or the ship or a serious risk to the environment that requires immediate corrective action or the lack of effective and systematic implementation of a requirement of this Code.,1,ISM 2018
1.1.11,Anniversary date means the day and month of each year that corresponds to the date of expiry of the relevant document or certificate.,1,ISM 2018
1.1.12,"Convention means the International Convention for the Safety of Life at Sea, 1974, as amended.",1,ISM 2018
1.2,"Objectives — ensure safety at sea, prevention of human injury or loss of life, and avoidance of damage to the environment and to property.",1,ISM 2018
1.2.1,"The objectives of the Code are to ensure safety at sea, prevention of human injury or loss of life, and avoidance of damage to the environment and to property.",1,ISM 2018
1.2.2,Safety management objectives of the company should provide for safe practices and a safe working environment; assess all identified risks and establish appropriate safeguards; and continuously improve safety management skills of personnel.,1,ISM 2018
1.2.3,"The safety management system should ensure compliance with mandatory rules and regulations, and that applicable codes, guidelines and standards are taken into account.",1,ISM 2018
1.3,Application — the requirements of this Code may be applied to all ships.,1,ISM 2018
1.4,Functional requirements for a safety management system: a safety and environmental-protection policy; instructions and procedures for safe operation; defined levels of authority and lines of communication; procedures for reporting accidents and non-conformities; procedures to prepare for and respond to emergencies; and procedures for internal audits and management reviews.,1,ISM 2018
2,Safety and environmental-protection policy,2,ISM 2018
2.1,The company should establish a safety and environmental-protection policy describing how the objectives in paragraph 1.2 will be achieved.,2,ISM 2018
2.2,"The company should ensure that the policy is implemented and maintained at all levels of the organization, both ship-based and shore-based.",2,ISM 2018
3,Company responsibilities and authority,3,ISM 2018
3.1,"If the entity responsible for the operation of the ship is other than the owner, the owner must report the full name and details of such entity to the Administration.",3,ISM 2018
3.2,"The company should define and document the responsibility, authority and interrelation of all personnel who manage, perform and verify work relating to and affecting safety and pollution prevention.",3,ISM 2018
3.3,The company is responsible for ensuring that adequate resources and shore-based support are provided to enable the designated person(s) to carry out their functions.,3,ISM 2018
4,"Designated person(s) — every company should designate a person or persons ashore having direct access to the highest level of management, with responsibility and authority to monitor the safety and pollution-prevention aspects of the operation of each ship and to ensure adequate resources and shore-based support are applied.",4,ISM 2018
5,Master's responsibility and authority,5,ISM 2018
5.1,"The company should clearly define and document the master's responsibility with regard to implementing the policy, motivating the crew, issuing appropriate orders and instructions, verifying that specified requirements are observed, and periodically reviewing the SMS and reporting deficiencies to shore-based management.",5,ISM 2018
5.2,"The company should ensure the SMS contains a clear statement emphasizing the master's authority, including overriding authority and responsibility to make decisions with respect to safety and pollution prevention and to request the company's assistance as necessary.",5,ISM 2018
6,Resources and personnel,6,ISM 2018
6.1,"The company should ensure that the master is properly qualified for command, fully conversant with the company's SMS, and given the necessary support so that the master's duties can be safely performed.",6,ISM 2018
