section_no,section_title,section_text,code_version
A/1,ISPS Part A Section 1,General — introduction and adoption of Part A of the ISPS Code as mandatory under SOLAS chapter XI-2.,ISPS 2003
A/2,ISPS Part A Section 2,"Definitions — terms used in Part A (Convention, regulation, chapter, security level, ship/port interface, etc.).",ISPS 2003
A/3,ISPS Part A Section 3,"Application — applies to ships engaged on international voyages (passenger ships, cargo ships >=500 GT, MODUs) and port facilities serving them.",ISPS 2003
A/4,ISPS Part A Section 4,Responsibilities of Contracting Governments — setting security levels and providing guidance to ships and port facilities.,ISPS 2003
A/5,ISPS Part A Section 5,Declaration of Security — requirements for completing a Declaration of Security between ship and port facility / ship and ship.,ISPS 2003
A/6,ISPS Part A Section 6,Obligations of the Company — ensuring the master has information to establish security and the SSP is provided.,ISPS 2003
A/7,ISPS Part A Section 7,Ship security — ships shall act upon the security levels set by Contracting Governments.,ISPS 2003
A/8,ISPS Part A Section 8,Ship security assessment — an essential and integral part of developing and updating the Ship Security Plan.,ISPS 2003
A/9,ISPS Part A Section 9,Ship security plan — each ship shall carry an approved Ship Security Plan addressing the security levels.,ISPS 2003
A/10,ISPS Part A Section 10,Records — records of activities addressed in the Ship Security Plan shall be kept on board.,ISPS 2003
A/11,ISPS Part A Section 11,Company security officer — the Company shall designate a Company Security Officer.,ISPS 2003
A/12,ISPS Part A Section 12,Ship security officer — a Ship Security Officer shall be designated on each ship.,ISPS 2003
A/13,ISPS Part A Section 13,"Training, drills and exercises on ship security — CSO and shore personnel, SSO and shipboard personnel.",ISPS 2003
A/14,ISPS Part A Section 14,Port facility security — port facilities shall act upon the security levels set within whose territory it is located.,ISPS 2003
A/15,ISPS Part A Section 15,Port facility security assessment — an essential and integral part of developing and updating the Port Facility Security Plan.,ISPS 2003
A/16,ISPS Part A Section 16,Port facility security plan — a Port Facility Security Plan shall be developed and maintained for each port facility.,ISPS 2003
A/17,ISPS Part A Section 17,Port facility security officer — a Port Facility Security Officer shall be designated for each port facility.,ISPS 2003
A/18,ISPS Part A Section 18,"Training, drills and exercises on port facility security — PFSO and port facility personnel.",ISPS 2003
A/19,ISPS Part A Section 19,"Verification and certification for ships — initial, renewal, intermediate and additional verifications.",ISPS 2003
A/19.1,ISPS Part A Section 19.1,"Verifications — each ship shall be subject to initial, renewal, and at least one intermediate verification of its security system.",ISPS 2003
A/19.2,ISPS Part A Section 19.2,Issue or endorsement of the International Ship Security Certificate — issued after initial or renewal verification.,ISPS 2003
A/19.3,ISPS Part A Section 19.3,Duration and validity of the certificate — the ISSC shall be issued for a period not exceeding five years.,ISPS 2003
A/19.4,ISPS Part A Section 19.4,Interim certification — an Interim International Ship Security Certificate may be issued.,ISPS 2003
A-Appendix-1,A-Appendix-1,Form of the International Ship Security Certificate.,ISPS 2003
A-Appendix-2,A-Appendix-2,Form of the Interim International Ship Security Certificate.,ISPS 2003
