annex_no,regulation_no,title,code_version
Annex I,I/4,Exceptions (prevention of pollution by oil),MARPOL Consolidated Edition 2022
Annex I,I/6,Surveys,MARPOL Consolidated Edition 2022
Annex I,I/7,Issue or endorsement of the IOPP Certificate,MARPOL Consolidated Edition 2022
Annex I,I/12A,Oil fuel tank protection,MARPOL Consolidated Edition 2022
Annex I,I/14,Oil filtering equipment,MARPOL Consolidated Edition 2022
Annex I,I/15,Control of discharge of oil,MARPOL Consolidated Edition 2022
Annex I,I/17,"Oil Record Book, Part I - Machinery space operations",MARPOL Consolidated Edition 2022
Annex I,I/18,Slop tanks,MARPOL Consolidated Edition 2022
Annex I,I/19,Double hull and double bottom requirements for oil tankers,MARPOL Consolidated Edition 2022
Annex I,I/26,Shipboard oil pollution emergency plan (SOPEP),MARPOL Consolidated Edition 2022
Annex I,I/34,Control of discharge of oil (cargo area of tankers),MARPOL Consolidated Edition 2022
Annex I,I/36,"Oil Record Book, Part II - Cargo/ballast operations",MARPOL Consolidated Edition 2022
Annex I,I/37,Shipboard oil pollution emergency plan,MARPOL Consolidated Edition 2022
Annex I,I/38,Reception facilities,MARPOL Consolidated Edition 2022
Annex II,II/6,Categorization and listing of noxious liquid substances and other substances,MARPOL Consolidated Edition 2022
Annex II,II/8,Surveys,MARPOL Consolidated Edition 2022
Annex II,II/11,Procedures and Arrangements Manual,MARPOL Consolidated Edition 2022
Annex II,II/13,Control of discharges of residues of noxious liquid substances,MARPOL Consolidated Edition 2022
Annex II,II/14,Cargo Record Book,MARPOL Consolidated Edition 2022
Annex II,II/16,Shipboard marine pollution emergency plan for noxious liquid substances,MARPOL Consolidated Edition 2022
Annex III,III/1,Application (harmful substances carried in packaged form),MARPOL Consolidated Edition 2022
Annex III,III/4,Documentation,MARPOL Consolidated Edition 2022
Annex III,III/5,Stowage,MARPOL Consolidated Edition 2022
Annex III,III/7,Port State control on operational requirements,MARPOL Consolidated Edition 2022
Annex IV,IV/4,Surveys (prevention of pollution by sewage),MARPOL Consolidated Edition 2022
Annex IV,IV/5,Issue or endorsement of the International Sewage Pollution Prevention Certificate,MARPOL Consolidated Edition 2022
Annex IV,IV/9,Sewage systems,MARPOL Consolidated Edition 2022
Annex IV,IV/11,Discharge of sewage,MARPOL Consolidated Edition 2022
Annex V,V/3,General prohibition on the discharge of garbage into the sea,MARPOL Consolidated Edition 2022
Annex V,V/4,Discharge of garbage outside special areas,MARPOL Consolidated Edition 2022
Annex V,V/6,Discharge of garbage within special areas,MARPOL Consolidated Edition 2022
Annex V,V/7,Exceptions,MARPOL Consolidated Edition 2022
Annex V,V/10,"Placards, garbage management plans and garbage record-keeping",MARPOL Consolidated Edition 2022
Annex VI,VI/5,Surveys (prevention of air pollution from ships),MARPOL Consolidated Edition 2022
Annex VI,VI/6,Issue or endorsement of the IAPP Certificate,MARPOL Consolidated Edition 2022
Annex VI,VI/12,Ozone-depleting substances,MARPOL Consolidated Edition 2022
Annex VI,VI/13,Nitrogen oxides (NOx),MARPOL Consolidated Edition 2022
Annex VI,VI/14,Sulphur oxides (SOx) and particulate matter,MARPOL Consolidated Edition 2022
Annex VI,VI/15,Volatile organic compounds (VOCs),MARPOL Consolidated Edition 2022
Annex VI,VI/16,Shipboard incineration,MARPOL Consolidated Edition 2022
Annex VI,VI/18,Fuel oil availability and quality,MARPOL Consolidated Edition 2022
Annex VI,VI/22,Attained Energy Efficiency Existing Ship Index (EEXI),MARPOL Consolidated Edition 2022
Annex VI,VI/22A,Collection and reporting of ship fuel oil consumption data,MARPOL Consolidated Edition 2022
Annex VI,VI/23,Operational carbon intensity indicator (CII),MARPOL Consolidated Edition 2022
Annex VI,VI/26,Ship Energy Efficiency Management Plan (SEEMP),MARPOL Consolidated Edition 2022
Annex VI,VI/28,Attained and required CII; SEEMP Part III,MARPOL Consolidated Edition 2022
