title_no,regulation_no,standard_a_code,title_text,code_version
Title 1,Regulation 1.1,A1.1,Minimum age,MLC 2006 (2014/2016/2018/2022 amendments)
Title 1,Regulation 1.2,A1.2,Medical certificate,MLC 2006 (2014/2016/2018/2022 amendments)
Title 1,Regulation 1.3,A1.3,Training and qualifications,MLC 2006 (2014/2016/2018/2022 amendments)
Title 1,Regulation 1.4,A1.4,Recruitment and placement,MLC 2006 (2014/2016/2018/2022 amendments)
Title 2,Regulation 2.1,A2.1,Seafarers' employment agreements,MLC 2006 (2014/2016/2018/2022 amendments)
Title 2,Regulation 2.2,A2.2,Wages,MLC 2006 (2014/2016/2018/2022 amendments)
Title 2,Regulation 2.3,A2.3,Hours of work and hours of rest,MLC 2006 (2014/2016/2018/2022 amendments)
Title 2,Regulation 2.4,A2.4,Entitlement to leave,MLC 2006 (2014/2016/2018/2022 amendments)
Title 2,Regulation 2.5,A2.5,Repatriation,MLC 2006 (2014/2016/2018/2022 amendments)
Title 2,Regulation 2.6,A2.6,Seafarer compensation for the ship's loss or foundering,MLC 2006 (2014/2016/2018/2022 amendments)
Title 2,Regulation 2.7,A2.7,Manning levels,MLC 2006 (2014/2016/2018/2022 amendments)
Title 2,Regulation 2.8,A2.8,Career and skill development and opportunities for seafarers' employment,MLC 2006 (2014/2016/2018/2022 amendments)
Title 3,Regulation 3.1,A3.1,Accommodation and recreational facilities,MLC 2006 (2014/2016/2018/2022 amendments)
Title 3,Regulation 3.2,A3.2,Food and catering,MLC 2006 (2014/2016/2018/2022 amendments)
Title 4,Regulation 4.1,A4.1,Medical care on board ship and ashore,MLC 2006 (2014/2016/2018/2022 amendments)
Title 4,Regulation 4.2,A4.2,Shipowners' liability,MLC 2006 (2014/2016/2018/2022 amendments)
Title 4,Regulation 4.3,A4.3,Health and safety protection and accident prevention,MLC 2006 (2014/2016/2018/2022 amendments)
Title 4,Regulation 4.4,A4.4,Access to shore-based welfare facilities,MLC 2006 (2014/2016/2018/2022 amendments)
Title 4,Regulation 4.5,A4.5,Social security,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.1.1,A5.1.1,Flag State responsibilities — general principles,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.1.2,A5.1.2,Authorization of recognized organizations,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.1.3,A5.1.3,Maritime labour certificate and declaration of maritime labour compliance,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.1.4,A5.1.4,Inspection and enforcement,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.1.5,A5.1.5,On-board complaint procedures,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.1.6,A5.1.6,Marine casualties,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.2.1,A5.2.1,Port State responsibilities — inspections in port,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.2.2,A5.2.2,Onshore seafarer complaint-handling procedures,MLC 2006 (2014/2016/2018/2022 amendments)
Title 5,Regulation 5.3,A5.3,Labour-supplying responsibilities,MLC 2006 (2014/2016/2018/2022 amendments)
