chapter_no,regulation_no,title,code_version
I,I/2,Definitions,SOLAS Consolidated Edition 2020
I,I/6,Inspection and survey,SOLAS Consolidated Edition 2020
I,I/7,Surveys of passenger ships,SOLAS Consolidated Edition 2020
I,I/8,Surveys of life-saving appliances and other equipment of cargo ships,SOLAS Consolidated Edition 2020
I,I/9,"Surveys of machinery, equipment, etc. of cargo ships",SOLAS Consolidated Edition 2020
I,I/10,"Surveys of structure, machinery and equipment of cargo ships",SOLAS Consolidated Edition 2020
I,I/11,Maintenance of conditions after survey,SOLAS Consolidated Edition 2020
I,I/12,Issue or endorsement of certificates,SOLAS Consolidated Edition 2020
I,I/14,Duration and validity of certificates,SOLAS Consolidated Edition 2020
I,I/19,Control,SOLAS Consolidated Edition 2020
II-1,II-1/3,Definitions relating to parts B to F,SOLAS Consolidated Edition 2020
II-1,II-1/3-4,Emergency towing arrangements and procedures,SOLAS Consolidated Edition 2020
II-1,II-1/3-5,New installation of materials containing asbestos,SOLAS Consolidated Edition 2020
II-1,II-1/3-6,Access to and within spaces in the cargo area of oil tankers and bulk carriers,SOLAS Consolidated Edition 2020
II-1,II-1/8,Stability of passenger ships in damaged condition,SOLAS Consolidated Edition 2020
II-1,II-1/8-1,System capabilities and operational information after a flooding casualty,SOLAS Consolidated Edition 2020
II-1,II-1/19,Damage control information,SOLAS Consolidated Edition 2020
II-1,II-1/22,"Prevention and control of water ingress, etc.",SOLAS Consolidated Edition 2020
II-1,II-1/23,Special requirements for ro-ro passenger ships,SOLAS Consolidated Edition 2020
II-1,II-1/26,General (machinery installations),SOLAS Consolidated Edition 2020
II-1,II-1/29,Steering gear,SOLAS Consolidated Edition 2020
II-1,II-1/41,Main source of electrical power and lighting systems,SOLAS Consolidated Edition 2020
II-1,II-1/42,Emergency source of electrical power in passenger ships,SOLAS Consolidated Edition 2020
II-1,II-1/43,Emergency source of electrical power in cargo ships,SOLAS Consolidated Edition 2020
II-2,II-2/3,Definitions,SOLAS Consolidated Edition 2020
II-2,II-2/4,Probability of ignition,SOLAS Consolidated Edition 2020
II-2,II-2/5,Fire growth potential,SOLAS Consolidated Edition 2020
II-2,II-2/7,Detection and alarm,SOLAS Consolidated Edition 2020
II-2,II-2/9,Containment of fire,SOLAS Consolidated Edition 2020
II-2,II-2/10,Fire fighting,SOLAS Consolidated Edition 2020
II-2,II-2/13,Means of escape,SOLAS Consolidated Edition 2020
II-2,II-2/14,Operational readiness and maintenance,SOLAS Consolidated Edition 2020
