section_no,title,code_version
STCW I/1,Definitions and clarifications,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/2,Certificates and endorsements,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/4,Control procedures,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/6,Training and assessment,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/7,Communication of information,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/8,Quality standards,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/9,Medical standards,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/10,Recognition of certificates,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/11,Revalidation of certificates,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/12,Use of simulators,"STCW Convention and Code (Manila Amendments, as amended)"
STCW I/14,Responsibilities of companies,"STCW Convention and Code (Manila Amendments, as amended)"
STCW II/1,Mandatory minimum requirements for certification of officers in charge of a navigational watch on ships of 500 GT or more,"STCW Convention and Code (Manila Amendments, as amended)"
STCW II/2,Mandatory minimum requirements for certification of masters and chief mates on ships of 500 GT or more,"STCW Convention and Code (Manila Amendments, as amended)"
STCW II/3,Mandatory minimum requirements for certification of officers in charge of a navigational watch and of masters on ships of less than 500 GT,"STCW Convention and Code (Manila Amendments, as amended)"
STCW II/4,Mandatory minimum requirements for certification of ratings forming part of a navigational watch,"STCW Convention and Code (Manila Amendments, as amended)"
STCW II/5,Mandatory minimum requirements for certification of ratings as able seafarer deck,"STCW Convention and Code (Manila Amendments, as amended)"
STCW III/1,Mandatory minimum requirements for certification of officers in charge of an engineering watch in a manned engine-room or designated duty engineers in a periodically unmanned engine-room,"STCW Convention and Code (Manila Amendments, as amended)"
STCW III/2,Mandatory minimum requirements for certification of chief engineer officers and second engineer officers on ships powered by main propulsion machinery of 3000 kW propulsion power or more,"STCW Convention and Code (Manila Amendments, as amended)"
STCW III/3,Mandatory minimum requirements for certification of chief engineer officers and second engineer officers on ships powered by main propulsion machinery between 750 kW and 3000 kW propulsion power,"STCW Convention and Code (Manila Amendments, as amended)"
STCW III/4,Mandatory minimum requirements for certification of ratings forming part of a watch in a manned engine-room or designated to perform duties in a periodically unmanned engine-room,"STCW Convention and Code (Manila Amendments, as amended)"
STCW III/5,Mandatory minimum requirements for certification of ratings as able seafarer engine,"STCW Convention and Code (Manila Amendments, as amended)"
STCW III/6,Mandatory minimum requirements for certification of electro-technical officers,"STCW Convention and Code (Manila Amendments, as amended)"
STCW III/7,Mandatory minimum requirements for certification of electro-technical ratings,"STCW Convention and Code (Manila Amendments, as amended)"
STCW IV/2,Mandatory minimum requirements for certification of GMDSS radio operators,"STCW Convention and Code (Manila Amendments, as amended)"
STCW V/1-1,"Mandatory minimum requirements for the training and qualification of masters, officers and ratings on oil and chemical tankers","STCW Convention and Code (Manila Amendments, as amended)"
STCW V/1-2,"Mandatory minimum requirements for the training and qualification of masters, officers and ratings on liquefied gas tankers","STCW Convention and Code (Manila Amendments, as amended)"
STCW V/2,"Mandatory minimum requirements for the training and qualification of masters, officers, ratings and other personnel on passenger ships","STCW Convention and Code (Manila Amendments, as amended)"
STCW V/3,Mandatory minimum requirements for the training and qualification of personnel on ships subject to the IGF Code,"STCW Convention and Code (Manila Amendments, as amended)"
STCW V/4,Mandatory minimum requirements for the training and qualification of masters and deck officers on ships operating in polar waters,"STCW Convention and Code (Manila Amendments, as amended)"
STCW VI/1,"Mandatory minimum requirements for safety familiarization, basic training and instruction for all seafarers","STCW Convention and Code (Manila Amendments, as amended)"
STCW VI/2,"Mandatory minimum requirements for the issue of certificates of proficiency in survival craft, rescue boats and fast rescue boats","STCW Convention and Code (Manila Amendments, as amended)"
STCW VI/3,Mandatory minimum requirements for training in advanced fire fighting,"STCW Convention and Code (Manila Amendments, as amended)"
STCW VI/4,Mandatory minimum requirements relating to medical first aid and medical care,"STCW Convention and Code (Manila Amendments, as amended)"
STCW VI/5,Mandatory minimum requirements for the issue of certificates of proficiency for ship security officers,"STCW Convention and Code (Manila Amendments, as amended)"
STCW VI/6,Mandatory minimum requirements for security-related training and instruction for all seafarers,"STCW Convention and Code (Manila Amendments, as amended)"
STCW VII/1,Issue of alternative certificates,"STCW Convention and Code (Manila Amendments, as amended)"
STCW VIII/1,Fitness for duty,"STCW Convention and Code (Manila Amendments, as amended)"
STCW VIII/2,Watchkeeping arrangements and principles to be observed,"STCW Convention and Code (Manila Amendments, as amended)"
